Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
C. Osman , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,1,2.4,11,4,7,57.1,2,5,40,1,4,25,0,1,1,4,0,2,0,0,3,2,5
C. Osman , Z. Collins , D. Vassell , T. Jones , V. Wembanyama,2,2.4,8,2.5,4.5,55.6,1.5,2,75,1.5,2,75,0,3,3,2,0,0,1,0.5,0,2.5,3
C. Osman , Z. Collins , K. Johnson , M. Branham , B. Wesley,10,2.4,5.8,2.4,4.8,50,0.6,1.6,37.5,0.4,0.6,66.7,0.4,2,2.4,1.4,0.6,0.2,0,0.4,1,0.5,-0.9
D. Graham , C. Bassey , D. Vassell , J. Champagnie , V. Wembanyama,1,2.4,6,3,4,75,0,0,0,0,0,0,0,4,4,2,1,0,1,1,1,0,1
D. Graham , K. Johnson , D. Vassell , J. Champagnie , V. Wembanyama,1,2.4,11,3,7,42.9,3,4,75,2,2,100,3,0,3,3,1,0,0,0,0,1,1
D. McDermott , C. Osman , D. Vassell , T. Jones , V. Wembanyama,9,2.4,6.3,2.3,4.7,50,0.9,2.8,32,0.8,1,77.8,0.3,1.9,2.2,1.7,0.7,0.6,0.4,0,0.3,1.2,1
D. McDermott , C. Osman , K. Johnson , T. Jones , S. Mamukelashvili,2,2.4,8.5,3.5,5,70,1.5,2.5,60,0,0,0,0.5,3.5,4,3,1,0,0.5,0,0,0.5,6.5
D. McDermott , C. Osman , T. Jones , S. Mamukelashvili , B. Wesley,1,2.4,3,1,4,25,1,3,33.3,0,0,0,0,2,2,1,0,0,0,1,1,0,0
D. McDermott , C. Osman , Z. Collins , M. Branham , J. Sochan,3,2.4,5.7,2.3,3.7,63.6,1,2,50,0,0,0,0,1.3,1.3,2,1,0.7,0.3,0,1,0.3,2
D. McDermott , K. Johnson , D. Vassell , M. Branham , V. Wembanyama,2,2.4,4,1.5,4,37.5,0,2,0,1,1,100,0.5,1,1.5,0.5,1.5,0.5,0.5,0,0,1,-3.5
D. Vassell , J. Champagnie , B. Wesley , J. Sochan , V. Wembanyama,6,2.4,6.8,2.3,4,58.3,0.5,1.5,33.3,1.7,2.3,71.4,0.8,1.5,2.3,1.8,1.3,0.3,1,0.5,1.3,1.7,0.2
Z. Collins , K. Johnson , D. Vassell , T. Jones , V. Wembanyama,8,2.4,5.4,1.6,4.1,39.4,0.1,1.3,10,2,2.9,69.6,0.8,1.4,2.1,0.8,0.5,0.6,0.5,0.1,0.6,2.3,1
C. Osman , D. Vassell , T. Jones , J. Sochan , D. Barlow,4,2.3,7,2.5,3.5,71.4,1.3,2,62.5,0.8,0.8,100,0.3,2.3,2.5,1.5,0.8,0.3,0.5,0,0.8,1.3,3.8
C. Osman , D. Vassell , T. Jones , M. Branham , D. Barlow,1,2.3,5,2,5,40,0,1,0,1,2,50,1,3,4,1,0,0,0,0,0,1,3
C. Osman , K. Johnson , D. Vassell , T. Jones , J. Sochan,8,2.3,4.8,1.6,4.6,35.1,0.5,2.1,23.5,1,1.3,80,0.4,1.4,1.8,1.3,0.3,0.6,0,0.4,0.9,0.8,-0.5
C. Osman , K. Johnson , T. Jones , M. Branham , V. Wembanyama,12,2.3,5.8,2.2,3.9,55.3,0.9,1.6,57.9,0.5,0.9,54.5,0.6,1.2,1.8,1.9,1.1,0.2,0.3,0.2,0.8,0.9,-0.8
C. Osman , Z. Collins , K. Johnson , J. Champagnie , B. Wesley,3,2.3,5.7,2.3,3.7,63.6,0.3,1,33.3,0.7,0.7,100,0.3,2.3,2.7,1.7,1.3,0,0,0,1.7,0.7,-0.7
D. McDermott , C. Bassey , M. Branham , J. Sochan , V. Wembanyama,2,2.3,4,1.5,4,37.5,1,2,50,0,0,0,1,1.5,2.5,1,1,0,0.5,0,1.5,0,-2.5
D. McDermott , C. Osman , T. Jones , B. Wesley , D. Barlow,1,2.3,5,2,6,33.3,1,2,50,0,0,0,1,1,2,1,1,1,0,1,1,0,-4
